IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
091129883,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,10/31/2009,20:30,PARK,NONE,1900 Block of EDDY ST,-122.43978515169,37.7805327441756,"(37.7805327441756, -122.43978515169)",9112988328160
091127075,ASSAULT,BATTERY,Saturday,10/31/2009,20:30,NORTHERN,"ARREST, BOOKED",1300 Block of FILLMORE ST,-122.432355641362,37.7819065476741,"(37.7819065476741, -122.432355641362)",9112707504134
096111120,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,20:30,SOUTHERN,NONE,1000 Block of MARKET ST,-122.411071423064,37.7817511307229,"(37.7817511307229, -122.411071423064)",9611112006374
100307497,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,10/31/2009,20:30,INGLESIDE,NONE,SILVER AV / CONGDON ST,-122.42596311157,37.7286412751661,"(37.7286412751661, -122.42596311157)",10030749703014
096108826,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,20:30,SOUTHERN,NONE,800 Block of HARRISON ST,-122.400799947914,37.7799338672319,"(37.7799338672319, -122.400799947914)",9610882606244
091127075,ASSAULT,CHILD ABUSE (PHYSICAL),Saturday,10/31/2009,20:30,NORTHERN,"ARREST, BOOKED",1300 Block of FILLMORE ST,-122.432355641362,37.7819065476741,"(37.7819065476741, -122.432355641362)",9112707515015
091127075,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,10/31/2009,20:30,NORTHERN,"ARREST, BOOKED",1300 Block of FILLMORE ST,-122.432355641362,37.7819065476741,"(37.7819065476741, -122.432355641362)",9112707515200
091124758,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,10/31/2009,20:30,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.397615567933,37.7773918242817,"(37.7773918242817, -122.397615567933)",9112475806243
091123459,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,10/31/2009,20:24,TARAVAL,JUVENILE BOOKED,0 Block of BROAD ST,-122.454756002084,37.7132579074067,"(37.7132579074067, -122.454756002084)",9112345916650
091123459,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,10/31/2009,20:24,TARAVAL,JUVENILE BOOKED,0 Block of BROAD ST,-122.454756002084,37.7132579074067,"(37.7132579074067, -122.454756002084)",9112345962050
091123459,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,10/31/2009,20:24,TARAVAL,JUVENILE BOOKED,0 Block of BROAD ST,-122.454756002084,37.7132579074067,"(37.7132579074067, -122.454756002084)",9112345916010
096109307,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,20:20,SOUTHERN,NONE,3RD ST / HARRISON ST,-122.397388784826,37.7825543452426,"(37.7825543452426, -122.397388784826)",9610930771000
091123380,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,10/31/2009,20:10,BAYVIEW,NONE,PAUL AV / GOULD ST,-122.397670504184,37.7228758657254,"(37.7228758657254, -122.397670504184)",9112338003014
096110495,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,10/31/2009,20:00,NORTHERN,NONE,PIERCE ST / CHESTNUT ST,-122.439504944797,37.8004024933613,"(37.8004024933613, -122.439504944797)",9611049506372
