id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,utc_offset,time_zone,verified,geo_enabled,lang,profile_image_url,profile_background_image_url,profile_background_color,profile_link_color
213634439,Rep. Renee Ellmers,RepReneeEllmers,NC's Second District,I am honored to serve the Second District of North Carolina in the United States Congress. Follow my work in Washington and #NC02.,http://t.co/R42q8KIZHZ,15317,6513,1024,2010-11-09 12:15:55,66,5887,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/578220929127301121/82gIpuYP_normal.jpeg,http://abs.twimg.com/images/themes/theme15/bg.png,3A93B3,0084B4
234053893,Reid Ribble,RepRibble,"Appleton, WI",Proudly serving as the Representative for Wisconsin's 8th Congressional District.,http://t.co/4tAXA5I6D9,7949,1606,587,2011-01-04 18:55:59,151,1422,,,true,false,en,http://pbs.twimg.com/profile_images/1700729783/Ribble_High_Res_Head_Shot_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,022330,0084B4
236899846,Rep. Richard Hanna,RepRichardHanna,"","A self-made businessman, husband and father committed to representing the people of New York's 22nd Congressional District.",http://t.co/ZiSIYVANMc,8458,469,594,2011-01-11 16:34:58,3,2883,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/1831796855/HANN9330_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
442824717,Rep. Richard Neal,RepRichardNeal,"","Serving the First Congressional District of Massachusetts in the United States House of Representatives, with 87 cities and towns in western & central MA",http://t.co/CtpF0T1USA,4167,15,341,2011-12-21 14:18:30,0,617,-10800,Atlantic Time (Canada),true,false,en,http://pbs.twimg.com/profile_images/2245213250/TP_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
935033864,Richard Hudson,RepRichHudson,"Concord, NC",Official Twitter account for Congressman Richard Hudson -- proudly representing the 8th Congressional District of North Carolina.,http://t.co/xkOnFWGu,5498,1320,347,2012-11-08 17:41:00,736,2800,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/3037881672/dd5c63ea9343041d9deeb0d643ce8562_normal.jpeg,http://pbs.twimg.com/profile_background_images/378800000057248498/d2897a49822ea0f1050ef65dd5b47c71.jpeg,C0DEED,0084B4
267854863,Rep Cedric Richmond,RepRichmond,"",Representing the 2nd Congressional District of Louisiana and the Who Dat Nation.,http://t.co/SUcIB89W63,7371,760,437,2011-03-17 17:30:45,163,1600,-18000,Quito,true,false,en,http://pbs.twimg.com/profile_images/615611063124373504/VQb-9ej2_normal.jpg,http://pbs.twimg.com/profile_background_images/674891845/91d35ac118b9a00e9972453684caeb4b.jpeg,C0DEED,3B94D9
236479311,Rich Nugent,RepRichNugent,FL-11 and Washington DC,Proudly Representing Florida's 11th Congressional District,http://t.co/AtlnqSnpuz,3035,170,407,2011-01-10 17:48:59,0,65,,,true,false,en,http://pbs.twimg.com/profile_images/1241504704/Nugent_Official_Photo_Large_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
2964287128,Rick W. Allen,RepRickAllen,"Augusta, GA and Washington, DC",Proudly representing Georgia's 12th Congressional District,http://t.co/RseyZoCFIB,1005,70,72,2015-01-06 14:45:18,4,197,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/552476601510682624/vklJRMrV_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,000000,0084B4
233693291,Rep Rick Crawford,RepRickCrawford,"Washington, DC",Representing Arkansas's First District in the United States Congress,http://t.co/8JmttzqjRR,8821,1267,570,2011-01-03 21:57:49,128,2352,-18000,Central Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/553316637839867904/LCvmf7iq_normal.jpeg,http://pbs.twimg.com/profile_background_images/267022676/crawfordtwitter.jpg,DBE9ED,048C09
404132211,Rep. Rick Larsen,RepRickLarsen,Washington's 2nd District,"Born and raised in Arlington, Wash.
Ranking Member, Aviation Subcommittee",http://t.co/2eHh43tMLB,5053,1331,383,2011-11-03 13:59:42,28,3345,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/378800000053920474/f062c789d4bb0d812a48107cce97c6d5_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
